Summary Splice Report
Prepared By:,Yassir Aziz
On: ,13/06/2019
Splice name:,3LYN-23-11-FJL-001
Location:,
Address:,106 LOGIS BVD
Coordinates:,341770.107,5791611.821
Latitude/Longitude:,-38.009376,145.197625
Enclosure Type:,TYCO_TENIO_B6_TRAY_S12
Segment,Count,Start Splice,End Splice,Owner,Cable Design Length,Cable Asbuilt Length
Segment 1 of 3LYN-23-11-FSD-001 - Underground,12,Splice Case: 3LYN-23-00-DJL-013,Splice Case: 3LYN-23-11-FJL-001,NBNCO,588.100,534.000
Segment 1 of 3LYN-23-11-FSL-018 - Underground,12,Splice Case: 3LYN-23-11-FJL-002,Splice Case: 3LYN-23-11-FJL-001,NBNCO,4.730,0.000
Segment 1 of 3LYN-23-11-FSL-014 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-BJL-014,NBNCO,237.940,257.100
Segment 1 of 3LYN-23-11-FSL-009 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-BJL-008,NBNCO,287.500,272.000
Segment 1 of 3LYN-23-11-FSL-007 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-BJL-006,NBNCO,321.600,311.000
Segment 1 of 3LYN-23-11-FSL-008 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-BJL-009,NBNCO,131.100,202.000
Segment 1 of 3LYN-23-11-FSL-006 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-BJL-007,NBNCO,829.100,793.000
3LYN-23-11-SPL-101 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-102 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-103 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-104 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-105 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-106 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-107 TYCO_PLC_SPLITTER_1:2,3,,,NBNCO,,
3LYN-23-11-SPL-108 TYCO_PLC_SPLITTER_1:8,9,,,NBNCO,,
Segment 1 of 3LYN-23-11-FSD-002 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-FJL-002,NBNCO,4.910,0.000
Segment 1 of 3LYN-23-11-FSL-301 - Underground,12,Splice Case: 3LYN-23-11-FJL-001,Splice Case: 3LYN-23-11-BJL-301,NBNCO,372.330,0.000

Splicing summary
3LYN2311FSD001: 1,>,3LYN2311SPL101: 1

3LYN2311FSD001: 2,>,3LYN2311SPL102: 1

3LYN2311FSD001: 3,>,3LYN2311SPL103: 1

3LYN2311FSD001: 4,>,3LYN2311SPL104: 1

3LYN2311FSD001: 5,>,3LYN2311SPL105: 1

3LYN2311FSD001: 6,>,3LYN2311SPL106: 1

3LYN2311FSD001: 7,>,3LYN2311SPL107: 1

3LYN2311FSD001: 8,>,3LYN2311SPL108: 1


3LYN2311FSD001: 9,>,3LYN2311FSD002: 9

3LYN2311FSD001: 10-12,>,3LYN2311FSL301: 1-3


3LYN2311FSL018: 1,>,3LYN2311FSL009: 5







Unconnected fibers
3LYN2311FSL018: 2-12,>,Unconnected
Unconnected,>,3LYN2311FSD002: 1-8
Unconnected,>,3LYN2311FSD002: 10-12
Unconnected,>,3LYN2311FSL006: 1-12
Unconnected,>,3LYN2311FSL007: 1-12
Unconnected,>,3LYN2311FSL008: 1-12
Unconnected,>,3LYN2311FSL009: 1-4
Unconnected,>,3LYN2311FSL009: 6-12
Unconnected,>,3LYN2311FSL014: 1-12
Unconnected,>,3LYN2311FSL301: 4-12
Unconnected,>,3LYN2311SPL101: 2-3
Unconnected,>,3LYN2311SPL102: 2-3
Unconnected,>,3LYN2311SPL103: 2-3
Unconnected,>,3LYN2311SPL104: 2-3
Unconnected,>,3LYN2311SPL105: 2-3
Unconnected,>,3LYN2311SPL106: 2-3
Unconnected,>,3LYN2311SPL107: 2-3
Unconnected,>,3LYN2311SPL108: 2-9
